rodada,instancia,LS,break,TT,tempo,Cmax
14,2,sim,nao,946,7.882,1472.0
14,3,sim,nao,0,7.903,1238.0
14,4,sim,nao,0,9.116,1198.0
14,5,sim,nao,118,6.9,1382.0
14,6,sim,nao,1117,8.928,1210.0
14,7,sim,nao,143,9.694,1397.0
14,8,sim,nao,0,7.738,1246.0
14,9,sim,nao,0,8.039,1386.0
14,10,sim,nao,5,9.352,1200.0
15,1,sim,nao,258,8.01,1336.0
15,2,sim,nao,946,8.239,1472.0
15,3,sim,nao,0,7.759,1219.0
15,4,sim,nao,0,9.168,1198.0
15,5,sim,nao,118,7.187,1382.0
15,6,sim,nao,1081,7.826,1233.0
15,7,sim,nao,123,9.648,1397.0
15,8,sim,nao,0,7.245,1287.0
15,9,sim,nao,0,7.704,1387.0
15,10,sim,nao,0,9.607,1194.0
16,1,sim,nao,218,7.925,1347.0
16,2,sim,nao,951,7.213,1472.0
16,3,sim,nao,0,7.595,1228.0
16,4,sim,nao,0,8.064,1202.0
16,5,sim,nao,118,7.963,1382.0
16,6,sim,nao,1081,8.032,1233.0
16,7,sim,nao,123,8.251,1397.0
16,8,sim,nao,0,6.994,1264.0
16,9,sim,nao,0,7.029,1386.0
16,10,sim,nao,0,9.84,1194.0
17,1,sim,nao,261,7.815,1320.0
17,2,sim,nao,951,7.285,1472.0
17,3,sim,nao,0,8.598,1231.0
17,4,sim,nao,0,8.277,1198.0
17,5,sim,nao,118,7.413,1382.0
17,6,sim,nao,1081,8.45,1233.0
17,7,sim,nao,123,9.601,1397.0
17,8,sim,nao,0,7.376,1276.0
17,9,sim,nao,0,7.065,1388.0
17,10,sim,nao,0,9.858,1194.0
18,1,sim,nao,256,9.403,1329.0
18,2,sim,nao,946,7.801,1472.0
18,3,sim,nao,0,7.352,1220.0
18,4,sim,nao,0,8.086,1202.0
18,5,sim,nao,118,6.804,1382.0
18,6,sim,nao,1081,7.414,1233.0
18,7,sim,nao,123,8.934,1397.0
18,8,sim,nao,0,7.276,1246.0
18,9,sim,nao,0,7.686,1386.0
